date,pm10,o3,no2,rain,temp
9/9/2015,47,14,17,17.4,27
9/10/2015,57,24,21,0,27.6
9/11/2015,82,34,14,0,28.9
9/12/2015,50,29,13,0,28.6
9/13/2015,71,34,10,0,28.9
9/14/2015,78,20,13,0,28.7
9/15/2015,77,16,22,18.4,26.6
9/16/2015,61,15,22,16.4,27.7
9/17/2015,48,25,17,0,29
9/18/2015,44,25,12,0,28.8
9/19/2015,67,33,11,0,29
9/20/2015,50,31,11,0,29.1
9/21/2015,42,22,13,0.2,28.9
9/22/2015,46,24,13,4.6,28.7
9/23/2015,52,33,18,0,29.2
9/24/2015,98,37,13,0,28.8
9/25/2015,141,27,14,0,28.9
9/26/2015,67,27,11,0,29
9/27/2015,43,29,10,0,28.9
9/28/2015,75,24,17,2.8,27.8
9/29/2015,94,34,19,0,28.1
9/30/2015,87,27,19,1.4,28.7
10/1/2015,97,33,15,0,28.7
10/2/2015,74,24,21,28.6,27.5
10/3/2015,82,29,15,0,28.5
10/4/2015,72,36,10,0,29
10/5/2015,90,30,21,0.2,28.4
10/6/2015,67,27,18,19.8,27.4
10/7/2015,39,30,27,0.6,28.1
10/8/2015,48,36,16,0,28.3
10/9/2015,49,31,14,0,29
10/10/2015,46,46,10,0,28.9
10/11/2015,57,36,15,0,29.3
10/12/2015,65,37,16,0,29.1
10/13/2015,59,24,15,0,28.9
10/14/2015,42,34,13,7.8,28.6
10/15/2015,53,39,13,0,29.5
10/16/2015,55,31,14,0,29
10/17/2015,55,40,11,0,29.4
10/18/2015,72,31,11,0,29.3
10/19/2015,62,31,11,0,29.5
10/20/2015,61,37,12,0,29.2
10/21/2015,52,35,12,0,29.2
10/22/2015,59,47,12,0,29.6
10/23/2015,106,27,15,0,29.6
10/24/2015,79,30,18,0.6,28.9
10/25/2015,80,42,17,0,28.2
10/26/2015,79,47,18,0,29
10/27/2015,55,26,14,0,29
10/28/2015,27,22,9,24,26.6
10/29/2015,20,18,16,0,28.4
10/30/2015,19,17,14,5.2,27.6
10/31/2015,25,36,17,0.4,27.2
11/1/2015,25,21,19,0.2,27.6
11/2/2015,21,12,21,0.2,27.8
11/3/2015,24,19,24,0,28.6
11/4/2015,40,30,28,0,28.2
11/5/2015,46,31,21,0,28.4
11/6/2015,29,19,20,0,28.4
11/7/2015,30,30,27,1.4,27.9
11/8/2015,45,43,25,0,27.6
11/9/2015,39,20,15,1.4,28
11/10/2015,25,19,23,0,28.2
11/11/2015,33,28,20,0,27.5
11/12/2015,32,8,21,0,28.2
11/13/2015,27,19,12,0,28.3
11/14/2015,19,16,11,0,29
11/15/2015,13,3,14,0,27.9
11/16/2015,14,24,20,1.6,26.5
11/17/2015,27,27,14,9.8,27
11/18/2015,19,14,17,0,28.6
11/19/2015,19,10,14,0,28.8
11/20/2015,18,18,19,0.2,28.1
11/21/2015,24,9,13,0,27.6
11/22/2015,34,38,21,0,28.3
11/23/2015,32,12,24,0,29.1
11/24/2015,32,24,22,24,26.8
11/25/2015,18,9,14,3.2,27.2
11/26/2015,11,15,12,0.8,27.1
11/27/2015,16,22,14,0.4,27.6
11/28/2015,22,22,15,0,28.5
11/29/2015,18,17,18,3.6,28.5
11/30/2015,16,12,16,25.8,27.6
12/1/2015,15,10,16,28.8,26.9
12/2/2015,16,14,12,0.2,27.6
12/3/2015,21,17,17,0,28.7
12/4/2015,19,13,15,0,28.4
12/5/2015,21,10,13,6,28.1
12/6/2015,14,13,9,4,27.8
12/7/2015,18,12,14,0,28.5
12/8/2015,16,13,12,21.6,28.1
12/9/2015,14,15,16,2,27.8
12/10/2015,19,10,16,40.4,27.4
12/11/2015,19,12,11,11,27.2
12/12/2015,14,3,11,37.8,26.8
